INFO -2023-04-11 10:20:46,518 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="1271dffd-a9b4-4c82-8ecd-28cd0e6e7964")>元素
INFO -2023-04-11 10:20:46,518 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="1271dffd-a9b4-4c82-8ecd-28cd0e6e7964")>元素
INFO -2023-04-11 10:20:46,518 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="1271dffd-a9b4-4c82-8ecd-28cd0e6e7964")>元素
INFO -2023-04-11 10:20:46,518 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="1271dffd-a9b4-4c82-8ecd-28cd0e6e7964")>元素
INFO -2023-04-11 10:20:46,518 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="1271dffd-a9b4-4c82-8ecd-28cd0e6e7964")>元素
INFO -2023-04-11 10:20:46,518 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="1271dffd-a9b4-4c82-8ecd-28cd0e6e7964")>元素
INFO -2023-04-11 10:20:46,518 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="1271dffd-a9b4-4c82-8ecd-28cd0e6e7964")>元素
INFO -2023-04-11 10:20:46,559 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:46,559 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:46,559 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:46,559 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:46,559 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:46,559 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:46,559 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:46,559 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:46,559 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:46,568 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="8c8d3d09-7141-42d9-b565-921cb4d9d854")>元素
INFO -2023-04-11 10:20:46,568 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="8c8d3d09-7141-42d9-b565-921cb4d9d854")>元素
INFO -2023-04-11 10:20:46,568 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="8c8d3d09-7141-42d9-b565-921cb4d9d854")>元素
INFO -2023-04-11 10:20:46,568 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="8c8d3d09-7141-42d9-b565-921cb4d9d854")>元素
INFO -2023-04-11 10:20:46,568 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="8c8d3d09-7141-42d9-b565-921cb4d9d854")>元素
